ID,code,Description,Red,Green,Blue
1,Forest temp,Temperate or sub-polar needleleaf forest,0,61,0
2,Forest taig,Sub-polar taiga needleleaf forest,148,156,112
3,Forest trop ev,Tropical or sub-tropical broadleaf evergreen forest,0,99,0
4,Forest trop de,Tropical or sub-tropical broadleaf deciduous forest,30,171,5
5,Forest temp de,Temperate or sub-polar broadleaf deciduous forest,20,140,61
6,Forest mix,Mixed forest,92,117,43
7,Shrubland trop,Tropical or sub-tropical shrubland,179,158,43
8,Shrubland temp,Temperate or sub-polar shrubland,179,138,51
9,Grassland trop,Tropical or sub-tropical grassland,232,220,94
10,Grassland temp,Temperate or sub-polar grassland,225,207,138
11,Shrubland moss,Sub-polar or polar shrubland-lichen-moss,156,117,84
12,Grassland moss,Sub-polar or polar grassland-lichen-moss,186,212,143
13,Barren moss,Sub-polar or polar barren-lichen-moss,64,138,112
14,Wetland,Wetland,107,163,138
15,Cropland,Cropland,230,174,102
16,Barren,Barren lands,168,171,174
17,Urban,Urban,220,33,38
18,Water,Water,76,112,163
19,Snow Ice,Snow and Ice,255,250,255
